budget,genre_id,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
10500000,878,62,en,"2001: A Space Odyssey",86.2012,1968-04-10,68700000,149,Released,"2001: A Space Odyssey",7.9,2998
10500000,9648,62,en,"2001: A Space Odyssey",86.2012,1968-04-10,68700000,149,Released,"2001: A Space Odyssey",7.9,2998
10500000,12,62,en,"2001: A Space Odyssey",86.2012,1968-04-10,68700000,149,Released,"2001: A Space Odyssey",7.9,2998
41000000,18,65,en,"8 Mile",32.7986,2002-11-08,215000000,110,Released,"8 Mile",6.8,1626
50000000,80,66,en,"Absolute Power",13.5768,1997-02-14,50068300,121,Released,"Absolute Power",6.4,223
50000000,18,66,en,"Absolute Power",13.5768,1997-02-14,50068300,121,Released,"Absolute Power",6.4,223
50000000,53,66,en,"Absolute Power",13.5768,1997-02-14,50068300,121,Released,"Absolute Power",6.4,223
15000000,35,68,en,Brazil,41.0899,1985-02-20,0,132,Released,Brazil,7.5,861
15000000,878,68,en,Brazil,41.0899,1985-02-20,0,132,Released,Brazil,7.5,861
28000000,18,69,en,"Walk the Line",35.58,2005-09-13,186439000,136,Released,"Walk the Line",7.3,718
28000000,10402,69,en,"Walk the Line",35.58,2005-09-13,186439000,136,Released,"Walk the Line",7.3,718
28000000,10749,69,en,"Walk the Line",35.58,2005-09-13,186439000,136,Released,"Walk the Line",7.3,718
30000000,18,70,en,"Million Dollar Baby",70.456,2004-12-15,216764000,132,Released,"Million Dollar Baby",7.7,2439
5000000,18,71,en,"Billy Elliot",20.4282,2000-05-18,110000000,110,Released,"Billy Elliot",7.4,750
5000000,35,71,en,"Billy Elliot",20.4282,2000-05-18,110000000,110,Released,"Billy Elliot",7.4,750
5000000,10402,71,en,"Billy Elliot",20.4282,2000-05-18,110000000,110,Released,"Billy Elliot",7.4,750
20000000,18,73,en,"American History X",73.5672,1998-10-30,23875100,119,Released,"American History X",8.2,3016
132000000,12,74,en,"War of the Worlds",48.5727,2005-06-28,591739000,116,Released,"War of the Worlds",6.2,2322
132000000,53,74,en,"War of the Worlds",48.5727,2005-06-28,591739000,116,Released,"War of the Worlds",6.2,2322
132000000,878,74,en,"War of the Worlds",48.5727,2005-06-28,591739000,116,Released,"War of the Worlds",6.2,2322
70000000,35,75,en,"Mars Attacks!",44.0905,1996-12-12,101371000,106,Released,"Mars Attacks!",6.1,1509
70000000,14,75,en,"Mars Attacks!",44.0905,1996-12-12,101371000,106,Released,"Mars Attacks!",6.1,1509
70000000,878,75,en,"Mars Attacks!",44.0905,1996-12-12,101371000,106,Released,"Mars Attacks!",6.1,1509
2500000,18,76,en,"Before Sunrise",23.6726,1995-01-27,5535400,105,Released,"Before Sunrise",7.7,959
2500000,10749,76,en,"Before Sunrise",23.6726,1995-01-27,5535400,105,Released,"Before Sunrise",7.7,959
9000000,9648,77,en,Memento,60.7152,2000-10-11,39723100,113,Released,Memento,8.1,4028
9000000,53,77,en,Memento,60.7152,2000-10-11,39723100,113,Released,Memento,8.1,4028
28000000,878,78,en,"Blade Runner",94.0561,1982-06-25,33139600,117,Released,"Blade Runner",7.9,3509
28000000,18,78,en,"Blade Runner",94.0561,1982-06-25,33139600,117,Released,"Blade Runner",7.9,3509
28000000,53,78,en,"Blade Runner",94.0561,1982-06-25,33139600,117,Released,"Blade Runner",7.9,3509
31000000,18,79,zh,英雄,23.6074,2002-12-19,177394000,99,Released,Hero,7.2,635
31000000,12,79,zh,英雄,23.6074,2002-12-19,177394000,99,Released,Hero,7.2,635
31000000,28,79,zh,英雄,23.6074,2002-12-19,177394000,99,Released,Hero,7.2,635
31000000,36,79,zh,英雄,23.6074,2002-12-19,177394000,99,Released,Hero,7.2,635
2700000,18,80,en,"Before Sunset",14.7993,2004-02-10,15992600,80,Released,"Before Sunset",7.6,718
2700000,10749,80,en,"Before Sunset",14.7993,2004-02-10,15992600,80,Released,"Before Sunset",7.6,718
130000,18,83,en,"Open Water",15.6119,2004-08-06,54668000,79,Released,"Open Water",5.4,315
130000,53,83,en,"Open Water",15.6119,2004-08-06,54668000,79,Released,"Open Water",5.4,315
18000000,12,85,en,"Raiders of the Lost Ark",68.1596,1981-06-12,389926000,115,Released,"Raiders of the Lost Ark",7.7,3854
18000000,28,85,en,"Raiders of the Lost Ark",68.1596,1981-06-12,389926000,115,Released,"Raiders of the Lost Ark",7.7,3854
28000000,12,87,en,"Indiana Jones and the Temple of Doom",66.9768,1984-05-23,333000000,118,Released,"Indiana Jones and the Temple of Doom",7.1,2781
28000000,28,87,en,"Indiana Jones and the Temple of Doom",66.9768,1984-05-23,333000000,118,Released,"Indiana Jones and the Temple of Doom",7.1,2781
48000000,12,89,en,"Indiana Jones and the Last Crusade",80.9725,1989-05-24,474172000,127,Released,"Indiana Jones and the Last Crusade",7.6,3152
48000000,28,89,en,"Indiana Jones and the Last Crusade",80.9725,1989-05-24,474172000,127,Released,"Indiana Jones and the Last Crusade",7.6,3152
15000000,28,90,en,"Beverly Hills Cop",29.8438,1984-11-29,316360000,105,Released,"Beverly Hills Cop",6.8,961
15000000,35,90,en,"Beverly Hills Cop",29.8438,1984-11-29,316360000,105,Released,"Beverly Hills Cop",6.8,961
15000000,80,90,en,"Beverly Hills Cop",29.8438,1984-11-29,316360000,105,Released,"Beverly Hills Cop",6.8,961
140000000,28,95,en,Armageddon,58.486,1998-07-01,553800000,151,Released,Armageddon,6.4,2482
140000000,53,95,en,Armageddon,58.486,1998-07-01,553800000,151,Released,Armageddon,6.4,2482
140000000,878,95,en,Armageddon,58.486,1998-07-01,553800000,151,Released,Armageddon,6.4,2482
140000000,12,95,en,Armageddon,58.486,1998-07-01,553800000,151,Released,Armageddon,6.4,2482
20000000,28,96,en,"Beverly Hills Cop II",25.2844,1987-05-18,299965000,100,Released,"Beverly Hills Cop II",6.1,613
20000000,35,96,en,"Beverly Hills Cop II",25.2844,1987-05-18,299965000,100,Released,"Beverly Hills Cop II",6.1,613
20000000,80,96,en,"Beverly Hills Cop II",25.2844,1987-05-18,299965000,100,Released,"Beverly Hills Cop II",6.1,613
103000000,28,98,en,Gladiator,95.3013,2000-05-01,457640000,155,Released,Gladiator,7.9,5439
103000000,18,98,en,Gladiator,95.3013,2000-05-01,457640000,155,Released,Gladiator,7.9,5439
103000000,12,98,en,Gladiator,95.3013,2000-05-01,457640000,155,Released,Gladiator,7.9,5439
1350000,35,100,en,"Lock, Stock and Two Smoking Barrels",16.0326,1998-03-05,3897570,105,Released,"Lock, Stock and Two Smoking Barrels",7.5,1648
1350000,80,100,en,"Lock, Stock and Two Smoking Barrels",16.0326,1998-03-05,3897570,105,Released,"Lock, Stock and Two Smoking Barrels",7.5,1648
1300000,80,103,en,"Taxi Driver",58.845,1976-02-07,28262600,114,Released,"Taxi Driver",8,2535
1300000,18,103,en,"Taxi Driver",58.845,1976-02-07,28262600,114,Released,"Taxi Driver",8,2535
1530000,28,104,de,"Lola rennt",27.3656,1998-08-20,7267580,81,Released,"Run Lola Run",7.2,664
1530000,18,104,de,"Lola rennt",27.3656,1998-08-20,7267580,81,Released,"Run Lola Run",7.2,664
1530000,53,104,de,"Lola rennt",27.3656,1998-08-20,7267580,81,Released,"Run Lola Run",7.2,664
19000000,12,105,en,"Back to the Future",76.6032,1985-07-03,381110000,116,Released,"Back to the Future",8,6079
19000000,35,105,en,"Back to the Future",76.6032,1985-07-03,381110000,116,Released,"Back to the Future",8,6079
19000000,878,105,en,"Back to the Future",76.6032,1985-07-03,381110000,116,Released,"Back to the Future",8,6079
19000000,10751,105,en,"Back to the Future",76.6032,1985-07-03,381110000,116,Released,"Back to the Future",8,6079
18000000,878,106,en,Predator,50.0094,1987-06-11,98235600,107,Released,Predator,7.3,2093
18000000,28,106,en,Predator,50.0094,1987-06-11,98235600,107,Released,Predator,7.3,2093
18000000,12,106,en,Predator,50.0094,1987-06-11,98235600,107,Released,Predator,7.3,2093
18000000,53,106,en,Predator,50.0094,1987-06-11,98235600,107,Released,Predator,7.3,2093
10000000,53,107,en,Snatch,53.5957,2000-09-01,83557900,103,Released,Snatch,7.7,2912
10000000,80,107,en,Snatch,53.5957,2000-09-01,83557900,103,Released,Snatch,7.7,2912
25000000,28,111,en,Scarface,70.106,1983-12-08,65884700,170,Released,Scarface,8,2948
25000000,80,111,en,Scarface,70.106,1983-12-08,65884700,170,Released,Scarface,8,2948
25000000,18,111,en,Scarface,70.106,1983-12-08,65884700,170,Released,Scarface,8,2948
25000000,53,111,en,Scarface,70.106,1983-12-08,65884700,170,Released,Scarface,8,2948
14000000,10749,114,en,"Pretty Woman",45.4735,1990-03-23,463000000,119,Released,"Pretty Woman",7,1746
14000000,35,114,en,"Pretty Woman",45.4735,1990-03-23,463000000,119,Released,"Pretty Woman",7,1746
15000000,35,115,en,"The Big Lebowski",49.2301,1998-03-06,46189600,117,Released,"The Big Lebowski",7.8,2926
15000000,80,115,en,"The Big Lebowski",49.2301,1998-03-06,46189600,117,Released,"The Big Lebowski",7.8,2926
15000000,18,116,en,"Match Point",30.6699,2005-10-26,85306400,124,Released,"Match Point",7.3,1105
15000000,53,116,en,"Match Point",30.6699,2005-10-26,85306400,124,Released,"Match Point",7.3,1105
15000000,80,116,en,"Match Point",30.6699,2005-10-26,85306400,124,Released,"Match Point",7.3,1105
15000000,10749,116,en,"Match Point",30.6699,2005-10-26,85306400,124,Released,"Match Point",7.3,1105
25000000,80,117,en,"The Untouchables",38.2729,1987-06-02,76270500,119,Released,"The Untouchables",7.6,1384
25000000,18,117,en,"The Untouchables",38.2729,1987-06-02,76270500,119,Released,"The Untouchables",7.6,1384
25000000,36,117,en,"The Untouchables",38.2729,1987-06-02,76270500,119,Released,"The Untouchables",7.6,1384
25000000,53,117,en,"The Untouchables",38.2729,1987-06-02,76270500,119,Released,"The Untouchables",7.6,1384
150000000,12,118,en,"Charlie and the Chocolate Factory",53.9056,2005-07-13,474969000,115,Released,"Charlie and the Chocolate Factory",6.7,3624
150000000,35,118,en,"Charlie and the Chocolate Factory",53.9056,2005-07-13,474969000,115,Released,"Charlie and the Chocolate Factory",6.7,3624
150000000,10751,118,en,"Charlie and the Chocolate Factory",53.9056,2005-07-13,474969000,115,Released,"Charlie and the Chocolate Factory",6.7,3624
150000000,14,118,en,"Charlie and the Chocolate Factory",53.9056,2005-07-13,474969000,115,Released,"Charlie and the Chocolate Factory",6.7,3624
93000000,12,120,en,"The Lord of the Rings: The Fellowship of the Ring",138.05,2001-12-18,871368000,178,Released,"The Lord of the Rings: The Fellowship of the Ring",8,8705
93000000,14,120,en,"The Lord of the Rings: The Fellowship of the Ring",138.05,2001-12-18,871368000,178,Released,"The Lord of the Rings: The Fellowship of the Ring",8,8705
93000000,28,120,en,"The Lord of the Rings: The Fellowship of the Ring",138.05,2001-12-18,871368000,178,Released,"The Lord of the Rings: The Fellowship of the Ring",8,8705
79000000,12,121,en,"The Lord of the Rings: The Two Towers",106.915,2002-12-18,926287000,179,Released,"The Lord of the Rings: The Two Towers",8,7487
79000000,14,121,en,"The Lord of the Rings: The Two Towers",106.915,2002-12-18,926287000,179,Released,"The Lord of the Rings: The Two Towers",8,7487
79000000,28,121,en,"The Lord of the Rings: The Two Towers",106.915,2002-12-18,926287000,179,Released,"The Lord of the Rings: The Two Towers",8,7487
94000000,12,122,en,"The Lord of the Rings: The Return of the King",123.63,2003-12-01,1118890000,201,Released,"The Lord of the Rings: The Return of the King",8.1,8064
94000000,14,122,en,"The Lord of the Rings: The Return of the King",123.63,2003-12-01,1118890000,201,Released,"The Lord of the Rings: The Return of the King",8.1,8064
94000000,28,122,en,"The Lord of the Rings: The Return of the King",123.63,2003-12-01,1118890000,201,Released,"The Lord of the Rings: The Return of the King",8.1,8064
26500000,12,128,ja,もののけ姫,60.7327,1997-07-12,159375000,134,Released,"Princess Mononoke",8.2,1983
26500000,14,128,ja,もののけ姫,60.7327,1997-07-12,159375000,134,Released,"Princess Mononoke",8.2,1983
26500000,16,128,ja,もののけ姫,60.7327,1997-07-12,159375000,134,Released,"Princess Mononoke",8.2,1983
15000000,14,129,ja,千と千尋の神隠し,118.969,2001-07-20,274925000,125,Released,"Spirited Away",8.3,3840
15000000,12,129,ja,千と千尋の神隠し,118.969,2001-07-20,274925000,125,Released,"Spirited Away",8.3,3840
15000000,16,129,ja,千と千尋の神隠し,118.969,2001-07-20,274925000,125,Released,"Spirited Away",8.3,3840
15000000,10751,129,ja,千と千尋の神隠し,118.969,2001-07-20,274925000,125,Released,"Spirited Away",8.3,3840
26000000,28,134,en,"O Brother, Where Art Thou?",39.742,2000-08-30,71868300,106,Released,"O Brother, Where Art Thou?",7.3,1112
26000000,12,134,en,"O Brother, Where Art Thou?",39.742,2000-08-30,71868300,106,Released,"O Brother, Where Art Thou?",7.3,1112
26000000,35,134,en,"O Brother, Where Art Thou?",39.742,2000-08-30,71868300,106,Released,"O Brother, Where Art Thou?",7.3,1112
14600000,10749,137,en,"Groundhog Day",52.7443,1993-02-11,70907000,101,Released,"Groundhog Day",7.4,2301
14600000,14,137,en,"Groundhog Day",52.7443,1993-02-11,70907000,101,Released,"Groundhog Day",7.4,2301
14600000,18,137,en,"Groundhog Day",52.7443,1993-02-11,70907000,101,Released,"Groundhog Day",7.4,2301
14600000,35,137,en,"Groundhog Day",52.7443,1993-02-11,70907000,101,Released,"Groundhog Day",7.4,2301
6000000,14,141,en,"Donnie Darko",61.21,2001-01-18,1270520,113,Released,"Donnie Darko",7.7,3452
6000000,18,141,en,"Donnie Darko",61.21,2001-01-18,1270520,113,Released,"Donnie Darko",7.7,3452
6000000,9648,141,en,"Donnie Darko",61.21,2001-01-18,1270520,113,Released,"Donnie Darko",7.7,3452
14000000,18,142,en,"Brokeback Mountain",44.1356,2005-09-02,178044000,134,Released,"Brokeback Mountain",7.5,1480
14000000,10749,142,en,"Brokeback Mountain",44.1356,2005-09-02,178044000,134,Released,"Brokeback Mountain",7.5,1480
17000000,12,146,zh,卧虎藏龙,45.7423,2000-10-01,213526000,120,Released,"Crouching Tiger, Hidden Dragon",7.2,927
17000000,18,146,zh,卧虎藏龙,45.7423,2000-10-01,213526000,120,Released,"Crouching Tiger, Hidden Dragon",7.2,927
17000000,28,146,zh,卧虎藏龙,45.7423,2000-10-01,213526000,120,Released,"Crouching Tiger, Hidden Dragon",7.2,927
17000000,10749,146,zh,卧虎藏龙,45.7423,2000-10-01,213526000,120,Released,"Crouching Tiger, Hidden Dragon",7.2,927
8000000,878,149,ja,アキラ,39.3381,1988-07-16,553171,124,Released,Akira,7.8,773
8000000,16,149,ja,アキラ,39.3381,1988-07-16,553171,124,Released,Akira,7.8,773
35000000,878,152,en,"Star Trek: The Motion Picture",24.6166,1979-12-06,139000000,132,Released,"Star Trek: The Motion Picture",6.2,530
35000000,12,152,en,"Star Trek: The Motion Picture",24.6166,1979-12-06,139000000,132,Released,"Star Trek: The Motion Picture",6.2,530
35000000,9648,152,en,"Star Trek: The Motion Picture",24.6166,1979-12-06,139000000,132,Released,"Star Trek: The Motion Picture",6.2,530
4000000,18,153,en,"Lost in Translation",45.6666,2003-08-31,119724000,102,Released,"Lost in Translation",7.3,1895
12000000,28,154,en,"Star Trek II: The Wrath of Khan",22.4341,1982-06-03,96800000,113,Released,"Star Trek II: The Wrath of Khan",7.3,675
12000000,12,154,en,"Star Trek II: The Wrath of Khan",22.4341,1982-06-03,96800000,113,Released,"Star Trek II: The Wrath of Khan",7.3,675
12000000,878,154,en,"Star Trek II: The Wrath of Khan",22.4341,1982-06-03,96800000,113,Released,"Star Trek II: The Wrath of Khan",7.3,675
12000000,53,154,en,"Star Trek II: The Wrath of Khan",22.4341,1982-06-03,96800000,113,Released,"Star Trek II: The Wrath of Khan",7.3,675
185000000,18,155,en,"The Dark Knight",187.323,2008-07-16,1004560000,152,Released,"The Dark Knight",8.2,12002
185000000,28,155,en,"The Dark Knight",187.323,2008-07-16,1004560000,152,Released,"The Dark Knight",8.2,12002
185000000,80,155,en,"The Dark Knight",187.323,2008-07-16,1004560000,152,Released,"The Dark Knight",8.2,12002
185000000,53,155,en,"The Dark Knight",187.323,2008-07-16,1004560000,152,Released,"The Dark Knight",8.2,12002
18000000,878,157,en,"Star Trek III: The Search for Spock",15.314,1984-05-31,87000000,105,Released,"Star Trek III: The Search for Spock",6.4,434
18000000,28,157,en,"Star Trek III: The Search for Spock",15.314,1984-05-31,87000000,105,Released,"Star Trek III: The Search for Spock",6.4,434
18000000,12,157,en,"Star Trek III: The Search for Spock",15.314,1984-05-31,87000000,105,Released,"Star Trek III: The Search for Spock",6.4,434
18000000,53,157,en,"Star Trek III: The Search for Spock",15.314,1984-05-31,87000000,105,Released,"Star Trek III: The Search for Spock",6.4,434
85000000,53,161,en,"Ocean's Eleven",60.9294,2001-12-07,450717000,116,Released,"Ocean's Eleven",7.2,3783
85000000,80,161,en,"Ocean's Eleven",60.9294,2001-12-07,450717000,116,Released,"Ocean's Eleven",7.2,3783
20000000,14,162,en,"Edward Scissorhands",47.5136,1990-12-05,53000000,105,Released,"Edward Scissorhands",7.5,3601
20000000,18,162,en,"Edward Scissorhands",47.5136,1990-12-05,53000000,105,Released,"Edward Scissorhands",7.5,3601
20000000,10749,162,en,"Edward Scissorhands",47.5136,1990-12-05,53000000,105,Released,"Edward Scissorhands",7.5,3601
110000000,53,163,en,"Ocean's Twelve",76.8407,2004-12-09,362744000,125,Released,"Ocean's Twelve",6.4,2124
110000000,80,163,en,"Ocean's Twelve",76.8407,2004-12-09,362744000,125,Released,"Ocean's Twelve",6.4,2124
40000000,12,165,en,"Back to the Future Part II",43.3453,1989-11-20,332000000,108,Released,"Back to the Future Part II",7.4,3829
40000000,35,165,en,"Back to the Future Part II",43.3453,1989-11-20,332000000,108,Released,"Back to the Future Part II",7.4,3829
40000000,10751,165,en,"Back to the Future Part II",43.3453,1989-11-20,332000000,108,Released,"Back to the Future Part II",7.4,3829
40000000,878,165,en,"Back to the Future Part II",43.3453,1989-11-20,332000000,108,Released,"Back to the Future Part II",7.4,3829
48000000,18,167,en,K-PAX,30.9201,2001-10-22,50315100,120,Released,K-PAX,7.1,695
48000000,878,167,en,K-PAX,30.9201,2001-10-22,50315100,120,Released,K-PAX,7.1,695
24000000,878,168,en,"Star Trek IV: The Voyage Home",22.2584,1986-11-25,133000000,119,Released,"Star Trek IV: The Voyage Home",6.9,477
24000000,12,168,en,"Star Trek IV: The Voyage Home",22.2584,1986-11-25,133000000,119,Released,"Star Trek IV: The Voyage Home",6.9,477
35000000,878,169,en,"Predator 2",27.935,1990-11-20,57120300,108,Released,"Predator 2",5.9,730
35000000,28,169,en,"Predator 2",27.935,1990-11-20,57120300,108,Released,"Predator 2",5.9,730
35000000,53,169,en,"Predator 2",27.935,1990-11-20,57120300,108,Released,"Predator 2",5.9,730
5000000,27,170,en,"28 Days Later",45.4904,2002-10-31,82719900,113,Released,"28 Days Later",7.1,1777
5000000,53,170,en,"28 Days Later",45.4904,2002-10-31,82719900,113,Released,"28 Days Later",7.1,1777
5000000,878,170,en,"28 Days Later",45.4904,2002-10-31,82719900,113,Released,"28 Days Later",7.1,1777
30000000,878,172,en,"Star Trek V: The Final Frontier",19.5782,1989-06-09,70200000,107,Released,"Star Trek V: The Final Frontier",5.6,376
30000000,28,172,en,"Star Trek V: The Final Frontier",19.5782,1989-06-09,70200000,107,Released,"Star Trek V: The Final Frontier",5.6,376
30000000,12,172,en,"Star Trek V: The Final Frontier",19.5782,1989-06-09,70200000,107,Released,"Star Trek V: The Final Frontier",5.6,376
30000000,53,172,en,"Star Trek V: The Final Frontier",19.5782,1989-06-09,70200000,107,Released,"Star Trek V: The Final Frontier",5.6,376
5000000,12,173,en,"20,000 Leagues Under the Sea",9.3582,1954-12-23,28200000,127,Released,"20,000 Leagues Under the Sea",6.8,157
5000000,18,173,en,"20,000 Leagues Under the Sea",9.3582,1954-12-23,28200000,127,Released,"20,000 Leagues Under the Sea",6.8,157
5000000,878,173,en,"20,000 Leagues Under the Sea",9.3582,1954-12-23,28200000,127,Released,"20,000 Leagues Under the Sea",6.8,157
27000000,878,174,en,"Star Trek VI: The Undiscovered Country",16.1886,1991-12-05,96900000,113,Released,"Star Trek VI: The Undiscovered Country",6.7,413
27000000,28,174,en,"Star Trek VI: The Undiscovered Country",16.1886,1991-12-05,96900000,113,Released,"Star Trek VI: The Undiscovered Country",6.7,413
27000000,12,174,en,"Star Trek VI: The Undiscovered Country",16.1886,1991-12-05,96900000,113,Released,"Star Trek VI: The Undiscovered Country",6.7,413
27000000,53,174,en,"Star Trek VI: The Undiscovered Country",16.1886,1991-12-05,96900000,113,Released,"Star Trek VI: The Undiscovered Country",6.7,413
1200000,27,176,en,Saw,63.656,2004-10-01,103912000,103,Released,Saw,7.2,2184
1200000,9648,176,en,Saw,63.656,2004-10-01,103912000,103,Released,Saw,7.2,2184
1200000,80,176,en,Saw,63.656,2004-10-01,103912000,103,Released,Saw,7.2,2184
24000000,35,177,en,"The Fisher King",16.1466,1991-09-09,41895500,137,Released,"The Fisher King",7.2,341
24000000,18,177,en,"The Fisher King",16.1466,1991-09-09,41895500,137,Released,"The Fisher King",7.2,341
80000000,80,179,en,"The Interpreter",18.6998,2005-04-08,162945000,128,Released,"The Interpreter",6.2,392
80000000,53,179,en,"The Interpreter",18.6998,2005-04-08,162945000,128,Released,"The Interpreter",6.2,392
102000000,28,180,en,"Minority Report",65.949,2002-06-20,358373000,145,Released,"Minority Report",7.1,2608
102000000,53,180,en,"Minority Report",65.949,2002-06-20,358373000,145,Released,"Minority Report",7.1,2608
102000000,878,180,en,"Minority Report",65.949,2002-06-20,358373000,145,Released,"Minority Report",7.1,2608
102000000,9648,180,en,"Minority Report",65.949,2002-06-20,358373000,145,Released,"Minority Report",7.1,2608
32000000,10752,182,en,"The Good German",5.34794,2006-12-08,5914910,108,Released,"The Good German",5.9,86
32000000,80,182,en,"The Good German",5.34794,2006-12-08,5914910,108,Released,"The Good German",5.9,86
32000000,18,182,en,"The Good German",5.34794,2006-12-08,5914910,108,Released,"The Good German",5.9,86
